,startdate,adjusted_approve,adjusted_disapprove
286,2017-11-02,38.48462166666667,55.78987111111112
287,2017-11-03,35.95763857142857,58.38782714285714
288,2017-11-04,36.753906,56.975532
289,2017-11-05,37.677263999999994,56.245376
290,2017-11-06,37.761833,56.670223
291,2017-11-07,37.795660909090905,55.7799509090909
292,2017-11-08,39.12283363636364,55.71461909090909
293,2017-11-09,39.219004999999996,55.03344642857143
294,2017-11-10,38.25390599999999,56.195532
295,2017-11-11,38.18461,56.51832
296,2017-11-12,37.807263999999996,55.765377
297,2017-11-13,38.461833,56.250223000000005
298,2017-11-14,37.66540444444444,55.37976777777778
299,2017-11-15,38.50250555555555,55.52661555555556
300,2017-11-16,39.15606666666667,55.32285133333333
301,2017-11-17,37.28237,57.26915571428571
302,2017-11-18,36.913906,56.815532
303,2017-11-19,38.41159,55.51291499999999
304,2017-11-20,37.533906,56.23553
305,2017-11-21,39.61791777777778,53.68583
306,2017-11-22,38.03127428571429,55.89971428571429
307,2017-11-23,37.50990625,57.24779625
308,2017-11-24,38.313905999999996,55.755532
309,2017-11-25,38.253908,55.195532
310,2017-11-26,38.437264,55.515376
311,2017-11-27,37.60306666666666,56.49397111111111
312,2017-11-28,36.87673384615384,56.63227538461539
313,2017-11-29,36.205684999999995,57.8615125
314,2017-11-30,36.264674166666666,58.096934166666664
315,2017-12-01,39.10905444444445,55.55385333333333
316,2017-12-02,37.093906,57.835532
317,2017-12-03,37.58754666666666,56.13158083333334
318,2017-12-04,37.911833,57.20022200000001
319,2017-12-05,36.131598181818184,57.357042727272734
320,2017-12-06,37.15806111111111,57.23772777777778
321,2017-12-07,35.987608333333334,58.64106
322,2017-12-08,37.115718,57.300778
323,2017-12-09,35.313908000000005,59.19553199999999
324,2017-12-10,36.649862,56.33524333333333
325,2017-12-11,37.37248222222222,57.79807
326,2017-12-12,35.383182222222224,57.908655555555555
327,2017-12-13,37.232218181818176,58.116279090909096
328,2017-12-14,36.675662499999994,57.96610499999999
329,2017-12-15,35.057612857142864,57.65602428571429
330,2017-12-16,36.373906,57.89553199999999
331,2017-12-17,37.35664166666667,56.63835
332,2017-12-18,37.01698857142857,56.828285714285705
333,2017-12-19,37.767795,55.44645500000001
334,2017-12-20,38.633906,56.05553200000001
335,2017-12-21,38.801458,55.294067
336,2017-12-22,37.593906000000004,56.15553200000001
337,2017-12-23,37.713905999999994,55.915530000000004
338,2017-12-24,39.092234999999995,54.9534025
339,2017-12-25,39.796832,54.75428999999999
340,2017-12-26,39.303182222222226,54.637544444444444
341,2017-12-27,40.25390599999999,53.755532
342,2017-12-28,42.87027571428571,51.52739428571429
343,2017-12-29,40.811593333333334,54.050369999999994
344,2017-12-30,41.81159,52.683706666666666
345,2017-12-31,40.417235,53.90340375
346,2018-01-01,41.32615714285714,52.97443142857143
347,2018-01-02,39.21417777777778,54.79397000000001
348,2018-01-03,40.00769714285714,53.64733857142858
349,2018-01-04,40.404013636363636,54.05108363636362
350,2018-01-05,40.804065714285706,55.02815857142856
351,2018-01-06,41.48877,53.420100000000005
352,2018-01-07,39.796834000000004,55.254291999999985
353,2018-01-08,39.75723000000001,53.60105599999999
354,2018-01-09,41.143387272727274,53.15710090909091
355,2018-01-10,40.54848714285715,52.877689999999994
356,2018-01-11,42.071114,52.130531
357,2018-01-12,41.11033428571428,53.83283142857143
358,2018-01-13,38.567270909090915,56.40009909090909
359,2018-01-14,40.40182545454545,55.16383090909091
360,2018-01-15,37.546679,56.97563100000001
361,2018-01-16,37.84744555555555,56.883204444444445
362,2018-01-17,37.86821777777777,56.73649666666667
363,2018-01-18,39.46201153846153,55.86283307692307
364,2018-01-19,38.06768,56.718534
365,2018-01-20,38.825458888888896,56.38224777777778
366,2018-01-21,39.775904999999995,55.67308666666667
367,2018-01-22,38.716832,56.634291999999995
368,2018-01-23,38.996834,56.01429199999999
369,2018-01-24,39.14195285714286,55.969098571428574
370,2018-01-25,40.334327333333334,54.18426466666666
371,2018-01-26,41.97825666666666,51.81704
372,2018-01-27,41.278256666666664,52.78370333333333
373,2018-01-28,41.280120000000004,52.569325454545464
374,2018-01-29,40.75268555555556,54.17448666666667
375,2018-01-30,42.616122222222224,51.63065777777778
376,2018-01-31,41.936831999999995,52.17429
377,2018-02-01,41.90662749999999,52.25615249999999
378,2018-02-02,42.32325428571429,53.187952857142854
379,2018-02-03,41.778256666666664,52.550369999999994
380,2018-02-04,42.529735,52.64090375
381,2018-02-05,41.39338071428572,53.39687285714286
382,2018-02-06,42.576832,52.074292
383,2018-02-07,41.936831999999995,52.15429
384,2018-02-08,41.975235,52.09597785714285
385,2018-02-09,41.45363999999999,52.16715000000001
386,2018-02-10,40.854597999999996,53.154878
387,2018-02-11,41.679734999999994,52.61590375
388,2018-02-12,40.745560000000005,53.65685571428571
389,2018-02-13,41.656832,52.474292000000005
390,2018-02-14,40.656834,53.494291999999994
391,2018-02-15,40.14606333333334,54.49719733333334
392,2018-02-16,41.21765222222222,54.12650111111112
393,2018-02-17,40.487790000000004,54.184604285714286
394,2018-02-18,41.560432000000006,52.652845
395,2018-02-19,41.68841857142858,52.82828571428571
396,2018-02-20,40.358493333333335,54.74663733333334
397,2018-02-21,41.397406249999996,52.797795
398,2018-02-22,43.05432733333334,51.73093066666666
399,2018-02-23,40.956946,53.860644
400,2018-02-24,39.27825666666667,55.75037333333333
401,2018-02-25,41.029734999999995,53.71590375
402,2018-02-26,41.11309555555555,53.29417333333333
403,2018-02-27,43.27401428571428,51.60122857142857
404,2018-02-28,42.076832,52.354292
